timestamp_ms,RPM
6000,1845.00
7000,3129.00
8000,3333.00
9000,3357.00
10000,3459.00
11000,6912.00
12000,8451.00
13000,8532.00
14000,8586.00
15000,8652.00
16000,9879.00
17000,10197.00
18000,10302.00
19000,10197.00
20000,10290.00
21000,11097.00
22000,11250.00
23000,11247.00
24000,11292.00
25000,11196.00
26000,11541.00
27000,11601.00
28000,11619.00
29000,11748.00
30000,11949.00
31000,12504.00
32000,12492.00
33000,12333.00
34000,12483.00
35000,12438.00
36000,12915.00
37000,12711.00
38000,12723.00
39000,13026.00
40000,12942.00
41000,13371.00
42000,13284.00
43000,13191.00
44000,12918.00
45000,13380.00
46000,13638.00
47000,13593.00
48000,13140.00
49000,13437.00
50000,13452.00
51000,14613.00
52000,14427.00
53000,14532.00
54000,14604.00
55000,14409.00